Unnamed: 0,facility,latitude,longitude,year,facility_type,SA2_CODE
0,ELSIE DORRINGTON RESERVE,-38.2254499961592,145.039139978285,2014,park,214021592
1,HICKS RESERVE,-36.1309500059546,146.851109959367,2014,park,204031073
2,DAVID BISHOP RESERVE,-36.1151299676888,146.862130082419,2014,park,204031073
3,JACK PERRY RESERVE,-36.1396699248411,146.901439990251,2014,park,204031491
4,BERNIE COX PARK,-36.1480799794905,146.869839974369,2014,park,204031492
5,JOSEPH BROWN OVAL,-37.7177600040555,144.834449980337,2014,park,210011228
6,BRENNAN PARK,-38.1021799827508,147.063090002866,2014,park,205051103
7,MARKET RESERVE,-37.9659499874577,147.083330008125,2014,park,205051101
8,RECREATION HALL RESERVE,-37.809419990007,145.030610008412,2014,park,207011521
9,BILL BLACK PARK,-36.1222199750275,146.852820026099,2014,park,204031073
10,SLATER SQUARE,-38.154519997782,144.356259969378,2014,park,203021039
11,BRUCE PARK,-38.1622699986538,145.139059990686,2014,park,214011371
12,ERN MILES RESERVE,-36.3327500079074,145.048549980245,2014,park,216011407
13,COLAURA GARDENS,-36.4904400200347,145.339060011757,2014,park,216031419
14,WYNDHAM PARK,-37.9021599972124,144.656789978457,2014,park,213051368
15,ROGER FREE PARK,-37.5822099995711,144.721379971362,2014,park,210041540
16,FLINDERS GOLF COURSE,-38.4780299955396,145.022179980326,2014,park,214021378
17,BALYANG SANCTUARY,-38.1643000001745,144.330929995816,2014,park,203021046
18,ANZAC PARK,-37.8431499957007,147.070500014387,2014,park,205051101
19,VICTORIA PARK,-38.1084099844513,147.071690010608,2014,park,205051103
20,HUGHES PARK,-37.7669999993191,145.299139983542,2014,park,211031265
21,BABABI DJINANANG,-37.7022300048611,144.979819995862,2014,park,210031237
22,GILLBROOK RESERVE,-37.7751699993837,144.951579957846,2014,park,206011496
23,WALTER GALT RESERVE,-37.9913499932602,145.090639987039,2014,park,208031193
24,NORM JARDINE PAVILION,-38.1616499986382,145.138889990785,2014,park,214011371
25,DIANE BYRNE PAVILION,-38.1074999955543,145.142499974148,2014,park,214011375
26,MCNEILLY PARK,-38.1210799999443,145.855509961789,2014,park,205011076
27,BERYL PHILLIPS NATURE RESERVE,-37.7805499958312,145.376809968602,2014,park,211051283
28,JOHN COBURN OVAL,-38.1510999970148,145.145279995831,2014,park,214011371
29,DONATH PARK,-37.6999500022563,145.014999986027,2014,park,209021523
30,MURRUMBEENA PARK,-37.8970199933759,145.07173996269,2014,park,208021181
31,GERALD MULLANE RESERVE,-37.6059599977114,143.930090013645,2014,park,201021012
32,DAVEY RICHARDSON PAVILION,-38.1047099975167,145.156669970972,2014,park,214011375
33,HARRADINE PARK,-34.5797099437801,142.768339891787,2014,park,215031403
34,BOULEVARD BUSH RESERVE,-36.364259998541,145.37221998681,2014,park,216031416
35,JAMES PENROSE RESERVE,-37.6625299979791,144.926599986351,2014,park,210051243
36,DICK MURDOCH RESERVE,-37.8535099947132,144.772649965476,2014,park,213051363
37,CRAIG WATTS SKATE PARK,-38.0163799985,145.955279984491,2014,park,205011077
38,KEILOR LODGE RESERVE,-37.6895700031377,144.779169981928,2014,park,213011340
39,PARMELIA DRIVE RESERVE,-37.7048300016428,144.785239979244,2014,park,213011340
40,TAYLORS CREEK LINEAR PARK,-37.7062900042272,144.808519992058,2014,park,210011228
41,JAMIESON STREET RESERVE,-37.7407200050076,144.787339978034,2014,park,213011334
42,WAHGUNYAH DRIVE RESERVE,-37.7501500027358,144.826769980186,2014,park,213011335
43,DALTON STREET RESERVE,-37.7958399991944,144.814599964384,2014,park,213011338
44,INTERNATIONAL GARDENS RESERVE,-37.7317500028451,144.785759977269,2014,park,213011334
45,MATTHEWS HILL RESERVE,-37.7941700000505,144.842129970783,2014,park,213011336
46,SYDENHAM BASIN RESERVE,-37.6950000019143,144.760559971568,2014,park,213011339
47,CONRAD STREET RESERVE,-37.7330400037041,144.798339993951,2014,park,213011334
48,BMX TRACK RESERVE,-38.1019199843537,147.031920008302,2014,park,205051103
49,Alan Lay Oval,-37.9839599940491,146.788540001826,2014,park,205051101
0,WESTERN HEIGHTS SECONDARY COLLEGE - VINES ROAD CAMPUS,-38.1228799967922,144.32896997953,2021,secondary_school,203021040
1,CHRISTADELPHIAN HERITAGE COLLEGE MELBOURNE,-37.8594699975061,145.322249969286,2021,secondary_school,211011449
2,HAILEYBURY COLLEGE - BRIGHTON CAMPUS,-37.9304499921358,145.006979991314,2021,secondary_school,208011172
3,HAILEYBURY GIRLS COLLEGE - BERWICK CAMPUS,-38.0435799965588,145.363909979502,2021,secondary_school,212021293
4,DE LA SALLE COLLEGE,-37.8576599934144,145.032189991875,2021,secondary_school,208041194
5,BROOKSIDE P-9 COLLEGE,-37.7463700016125,144.736539982236,2021,secondary_school,213041463
6,CORNISH COLLEGE,-38.0491799946282,145.1487699785,2021,secondary_school,212041566
7,BENDIGO SENIOR SECONDARY COLLEGE - NETSCHOOL CAMPUS,-36.7592700021182,144.280520007644,2021,secondary_school,202011018
8,ANTONINE COLLEGE - ST JOSEPH CAMPUS,-37.7411800035691,144.94273998906,2021,secondary_school,206011109
9,ST PETERS COLLEGE - ST PETERS COLLEGE WEST CAMPUS,-38.1083999984892,145.256869983996,2021,secondary_school,212031304
10,SACRED HEART COLLEGE,-36.0086599986268,146.009199932809,2021,secondary_school,216021414
11,MCCLELLAND SECONDARY COLLEGE - CAMP MAHAIKAH,-36.9244000102909,146.279299977895,2021,secondary_school,204021064
12,CHRISTIAN COLLEGE HIGHTON - MAIN CAMPUS,-38.1852300101292,144.313079984761,2021,secondary_school,203021042
13,CAREY BAPTIST GRAMMAR SCHOOL - KEW CAMPUS,-37.8147699872217,145.047820011842,2021,secondary_school,207011521
14,MELBOURNE GIRLS GRAMMAR - MERTON HALL CAMPUS,-37.8316799970061,144.984809969941,2021,secondary_school,206041125
15,GEELONG GRAMMAR SCHOOL - MAIN CAMPUS,-38.0687999950813,144.399079969893,2021,secondary_school,203021486
16,BALLARAT CLARENDON COLLEGE - MAIN CAMPUS,-37.5596400012631,143.833659980016,2021,secondary_school,201011002
17,FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,-38.1168799972685,145.180899967374,2021,secondary_school,214011370
18,FIRBANK GRAMMAR SCHOOL,-37.9584699919438,145.016239980636,2021,secondary_school,208011173
19,FIRBANK GRAMMAR SCHOOL,-37.9077799913324,144.997299999477,2021,secondary_school,208011169
20,SHEPPARTON CHRISTIAN COLLEGE LTD,-36.3538499925395,145.415979993751,2021,secondary_school,216031416
21,VICTORY LUTHERAN COLLEGE,-36.1159899645916,146.847620041656,2021,secondary_school,204031073
22,TOORAK COLLEGE,-38.1722499975698,145.093469974596,2021,secondary_school,214021381
23,MARYBOROUGH EDUCATION CENTRE - BALACLAVA ROAD CAMPUS,-37.0421499990099,143.722869977467,2021,secondary_school,201031016
24,BARBARA TOLSON CENTRE  MELBOURNE GIRLS GRAMMAR,-37.8308399970728,144.98585997085,2021,secondary_school,206041125
25,OAKWOOD SCHOOL - CAULFIELD PARK COMMUNITY CAMPUS,-37.8739799906514,145.034169965748,2021,secondary_school,208021177
26,Turning Point Campus,-38.681949986797,143.382959993836,2021,secondary_school,217031476
27,The Geelong College Middle School Campus,-38.1444599976974,144.325519996864,2021,secondary_school,203021046
28,HAZEL GLEN COLLEGE ,-37.5988700010483,145.122909958413,2021,secondary_school,209041527
29,COBURG HIGH SCHOOL,-37.7394300027626,144.974999988663,2021,secondary_school,206011497
30,AUBURN HIGH SCHOOL,-37.8398799911886,145.045069992578,2021,secondary_school,207011152
31,ASHWOOD HIGH SCHOOL,-37.86452998535,145.103329995756,2021,secondary_school,212051319
32,FOSTER SECONDARY COLLEGE,-38.6517399960694,146.197409987218,2021,secondary_school,205031087
33,EDGARS CREEK SECONDARY COLLEGE,-37.6094900000125,145.005069986549,2021,secondary_school,209041437
34,OFFICER SECONDARY COLLEGE,-38.0720199970332,145.410969960087,2021,secondary_school,212011546
35,RICHMOND HIGH SCHOOL - GLEADELL STREET CAMPUS,-37.817399997142,145.00268998739,2021,secondary_school,206071518
36,RICHMOND HIGH SCHOOL - GRIFFITHS STREET CAMPUS,-37.8174099971496,145.002799987369,2021,secondary_school,206071518
37,BEAUMARIS SECONDARY COLLEGE,-37.978399992291,145.034079980339,2021,secondary_school,208011168
38,SPRINGSIDE WEST SECONDARY COLLEGE,-37.7156900018379,144.727869988017,2021,secondary_school,213041574
39,ESSENDON KEILOR COLLEGE - ESSENDON CAMPUS,-37.7551900008737,144.901930011615,2021,secondary_school,206031501
40,ESSENDON KEILOR COLLEGE - EAST KEILOR CAMPUS,-37.7397100005856,144.869709987868,2021,secondary_school,210011534
41,ESSENDON KEILOR COLLEGE - NIDDRIE CAMPUS,-37.7300700021655,144.879120008277,2021,secondary_school,210011226
42,PRAHRAN HIGH SCHOOL,-37.8517499966014,144.99168997356,2021,secondary_school,206061136
43,PRESTON HIGH SCHOOL,-37.7416900019263,145.006399985981,2021,secondary_school,209021428
44,WOODMANS HILL SECONDARY COLLEGE,-37.5591200010009,143.892280002926,2021,secondary_school,201011481
45,MOUNT ROWAN SECONDARY COLLEGE,-37.5192199980644,143.834470014936,2021,secondary_school,201011008
46,Rubicon Outdoor Centre - Thornton Campus,-37.2950000143261,145.821389981798,2021,secondary_school,204011054
47,ALTONA COLLEGE,-37.861649993761,144.816949987888,2021,secondary_school,213021341
48,KYNETON HIGH SCHOOL,-37.2513300009215,144.458169984226,2021,secondary_school,202021030
49,Elevation Secondary College,-37.5983500011218,144.890519972487,2021,secondary_school,210051443
50,Homestead Senior Secondary College,-37.9139999958336,144.768900007624,2021,secondary_school,213051464
51,Footscray High School Barkly Street Campus,-37.7990899986667,144.894890001092,2021,secondary_school,213031348
52,Footscray High School Kinnear Street Campus,-37.7910599995577,144.894019989111,2021,secondary_school,213031348
53,Greater Shepparton Secondary College Mooroopna Campus,-36.3817700082267,145.351809971287,2021,secondary_school,216031415
54,Greater Shepparton Secondary College McGuire Campus,-36.3989399862809,145.4081499792,2021,secondary_school,216031594
55,Greater Shepparton Secondary College Wanganui Park Campus,-36.3570299938721,145.391899989357,2021,secondary_school,216031416
56,Greater Otway Applied Learning School,-38.681949986797,143.382959993836,2021,secondary_school,217031476
57,Wonthaggi Secondary College Senior Campus,-38.6111099995473,145.598059999706,2021,secondary_school,205031093
58,De La Salle College - Holy Eucharist Campus,-37.8841499931387,145.069449971498,2021,secondary_school,208041195
59,Edenbrook Secondary School,-38.0798899985791,145.446509961986,2021,secondary_school,212011552
60,Cranbourne West Secondary College,-38.1058399986919,145.245629977251,2021,secondary_school,212031304
61,Edenbrook Secondary College,-38.0798899985791,145.446509961986,2021,secondary_school,212011552
62,Rubicon Outdoor School,-37.2950000143261,145.821389981798,2021,secondary_school,204011054
63,Footscray High School - Pilgrim Campus,-37.8059899988892,144.897530003887,2021,secondary_school,213031350
0,WYNDHAM VALE RAILWAY STATION,-37.8408199970151,144.61472998133,2019,train_station,213051582
1,TARNEIT RAILWAY STATION,-37.8320699952869,144.694119980443,2019,train_station,213051584
2,WAURN PONDS RAILWAY STATION,-38.2155400197836,144.304999992993,2019,train_station,203021487
3,EPSOM RAILWAY STATION,-36.7065799994193,144.320700014256,2019,train_station,202011025
4,CAROLINE SPRINGS RAILWAY STATION,-37.7662199997834,144.73724998099,2019,train_station,213041359
5,SOUTHLAND RAILWAY STATION,-37.9587299891989,145.049069991878,2019,train_station,208031188
6,HENDERSYDE,-36.4695100208657,145.295549979164,2019,train_station,216031419
7,Hawkstowe Rail Station,-37.6221699994177,145.09714996831,2019,train_station,209041435
8,Mernda Rail Station,-37.6017000016083,145.101769959743,2019,train_station,209041532
9,MIDDLE GORGE RAIL STATION,-37.6443100011982,145.091959981793,2019,train_station,209041436
10,PARKVILLE RAIL STATION,-37.7999699980923,144.959699984747,2019,train_station,206041117
11,STATE LIBRARY RAIL STATION,-37.8086799983999,144.963409974157,2019,train_station,206041504
12,TOWN HALL RAIL STATION,-37.8167199967047,144.967139962636,2019,train_station,206041503
13,ANZAC RAIL STATION,-37.8328399961629,144.972379970974,2019,train_station,206041125
0,WESTERN HEIGHTS SECONDARY COLLEGE - VINES ROAD CAMPUS,-38.1228799967922,144.32896997953,2017,secondary_school,203021040
1,CHRISTADELPHIAN HERITAGE COLLEGE MELBOURNE,-37.8594699975061,145.322249969286,2017,secondary_school,211011449
2,HAILEYBURY COLLEGE - BRIGHTON CAMPUS,-37.9304499921358,145.006979991314,2017,secondary_school,208011172
3,HAILEYBURY GIRLS COLLEGE - BERWICK CAMPUS,-38.0435799965588,145.363909979502,2017,secondary_school,212021293
4,DE LA SALLE COLLEGE,-37.8576599934144,145.032189991875,2017,secondary_school,208041194
5,BROOKSIDE P-9 COLLEGE,-37.7463700016125,144.736539982236,2017,secondary_school,213041463
6,CORNISH COLLEGE,-38.0491799946282,145.1487699785,2017,secondary_school,212041566
7,BENDIGO SENIOR SECONDARY COLLEGE - NETSCHOOL CAMPUS,-36.7592700021182,144.280520007644,2017,secondary_school,202011018
8,ANTONINE COLLEGE - ST JOSEPH CAMPUS,-37.7411800035691,144.94273998906,2017,secondary_school,206011109
9,ST PETERS COLLEGE - ST PETERS COLLEGE WEST CAMPUS,-38.1083999984892,145.256869983996,2017,secondary_school,212031304
10,SACRED HEART COLLEGE,-36.0086599986268,146.009199932809,2017,secondary_school,216021414
11,MCCLELLAND SECONDARY COLLEGE - CAMP MAHAIKAH,-36.9244000102909,146.279299977895,2017,secondary_school,204021064
12,CHRISTIAN COLLEGE HIGHTON - MAIN CAMPUS,-38.1852300101292,144.313079984761,2017,secondary_school,203021042
13,CAREY BAPTIST GRAMMAR SCHOOL - KEW CAMPUS,-37.8147699872217,145.047820011842,2017,secondary_school,207011521
14,MELBOURNE GIRLS GRAMMAR - MERTON HALL CAMPUS,-37.8316799970061,144.984809969941,2017,secondary_school,206041125
15,GEELONG GRAMMAR SCHOOL - MAIN CAMPUS,-38.0687999950813,144.399079969893,2017,secondary_school,203021486
16,BALLARAT CLARENDON COLLEGE - MAIN CAMPUS,-37.5596400012631,143.833659980016,2017,secondary_school,201011002
17,FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,-38.1168799972685,145.180899967374,2017,secondary_school,214011370
18,FIRBANK GRAMMAR SCHOOL,-37.9584699919438,145.016239980636,2017,secondary_school,208011173
19,FIRBANK GRAMMAR SCHOOL,-37.9077799913324,144.997299999477,2017,secondary_school,208011169
20,SHEPPARTON CHRISTIAN COLLEGE LTD,-36.3538499925395,145.415979993751,2017,secondary_school,216031416
21,VICTORY LUTHERAN COLLEGE,-36.1159899645916,146.847620041656,2017,secondary_school,204031073
22,TOORAK COLLEGE,-38.1722499975698,145.093469974596,2017,secondary_school,214021381
23,MARYBOROUGH EDUCATION CENTRE - BALACLAVA ROAD CAMPUS,-37.0421499990099,143.722869977467,2017,secondary_school,201031016
24,BARBARA TOLSON CENTRE  MELBOURNE GIRLS GRAMMAR,-37.8308399970728,144.98585997085,2017,secondary_school,206041125
25,OAKWOOD SCHOOL - CAULFIELD PARK COMMUNITY CAMPUS,-37.8739799906514,145.034169965748,2017,secondary_school,208021177
26,Turning Point Campus,-38.681949986797,143.382959993836,2017,secondary_school,217031476
27,The Geelong College Middle School Campus,-38.1444599976974,144.325519996864,2017,secondary_school,203021046
28,HAZEL GLEN COLLEGE ,-37.5988700010483,145.122909958413,2017,secondary_school,209041527
29,COBURG HIGH SCHOOL,-37.7394300027626,144.974999988663,2017,secondary_school,206011497
30,AUBURN HIGH SCHOOL,-37.8398799911886,145.045069992578,2017,secondary_school,207011152
31,ASHWOOD HIGH SCHOOL,-37.86452998535,145.103329995756,2017,secondary_school,212051319
0,WESTERN HEIGHTS SECONDARY COLLEGE - VINES ROAD CAMPUS,-38.1228799967922,144.32896997953,2020,secondary_school,203021040
1,CHRISTADELPHIAN HERITAGE COLLEGE MELBOURNE,-37.8594699975061,145.322249969286,2020,secondary_school,211011449
2,HAILEYBURY COLLEGE - BRIGHTON CAMPUS,-37.9304499921358,145.006979991314,2020,secondary_school,208011172
3,HAILEYBURY GIRLS COLLEGE - BERWICK CAMPUS,-38.0435799965588,145.363909979502,2020,secondary_school,212021293
4,DE LA SALLE COLLEGE,-37.8576599934144,145.032189991875,2020,secondary_school,208041194
5,BROOKSIDE P-9 COLLEGE,-37.7463700016125,144.736539982236,2020,secondary_school,213041463
6,CORNISH COLLEGE,-38.0491799946282,145.1487699785,2020,secondary_school,212041566
7,BENDIGO SENIOR SECONDARY COLLEGE - NETSCHOOL CAMPUS,-36.7592700021182,144.280520007644,2020,secondary_school,202011018
8,ANTONINE COLLEGE - ST JOSEPH CAMPUS,-37.7411800035691,144.94273998906,2020,secondary_school,206011109
9,ST PETERS COLLEGE - ST PETERS COLLEGE WEST CAMPUS,-38.1083999984892,145.256869983996,2020,secondary_school,212031304
10,SACRED HEART COLLEGE,-36.0086599986268,146.009199932809,2020,secondary_school,216021414
11,MCCLELLAND SECONDARY COLLEGE - CAMP MAHAIKAH,-36.9244000102909,146.279299977895,2020,secondary_school,204021064
12,CHRISTIAN COLLEGE HIGHTON - MAIN CAMPUS,-38.1852300101292,144.313079984761,2020,secondary_school,203021042
13,CAREY BAPTIST GRAMMAR SCHOOL - KEW CAMPUS,-37.8147699872217,145.047820011842,2020,secondary_school,207011521
14,MELBOURNE GIRLS GRAMMAR - MERTON HALL CAMPUS,-37.8316799970061,144.984809969941,2020,secondary_school,206041125
15,GEELONG GRAMMAR SCHOOL - MAIN CAMPUS,-38.0687999950813,144.399079969893,2020,secondary_school,203021486
16,BALLARAT CLARENDON COLLEGE - MAIN CAMPUS,-37.5596400012631,143.833659980016,2020,secondary_school,201011002
17,FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,-38.1168799972685,145.180899967374,2020,secondary_school,214011370
18,FIRBANK GRAMMAR SCHOOL,-37.9584699919438,145.016239980636,2020,secondary_school,208011173
19,FIRBANK GRAMMAR SCHOOL,-37.9077799913324,144.997299999477,2020,secondary_school,208011169
20,SHEPPARTON CHRISTIAN COLLEGE LTD,-36.3538499925395,145.415979993751,2020,secondary_school,216031416
21,VICTORY LUTHERAN COLLEGE,-36.1159899645916,146.847620041656,2020,secondary_school,204031073
22,TOORAK COLLEGE,-38.1722499975698,145.093469974596,2020,secondary_school,214021381
23,MARYBOROUGH EDUCATION CENTRE - BALACLAVA ROAD CAMPUS,-37.0421499990099,143.722869977467,2020,secondary_school,201031016
24,BARBARA TOLSON CENTRE  MELBOURNE GIRLS GRAMMAR,-37.8308399970728,144.98585997085,2020,secondary_school,206041125
25,OAKWOOD SCHOOL - CAULFIELD PARK COMMUNITY CAMPUS,-37.8739799906514,145.034169965748,2020,secondary_school,208021177
26,Turning Point Campus,-38.681949986797,143.382959993836,2020,secondary_school,217031476
27,The Geelong College Middle School Campus,-38.1444599976974,144.325519996864,2020,secondary_school,203021046
28,HAZEL GLEN COLLEGE ,-37.5988700010483,145.122909958413,2020,secondary_school,209041527
29,COBURG HIGH SCHOOL,-37.7394300027626,144.974999988663,2020,secondary_school,206011497
30,AUBURN HIGH SCHOOL,-37.8398799911886,145.045069992578,2020,secondary_school,207011152
31,ASHWOOD HIGH SCHOOL,-37.86452998535,145.103329995756,2020,secondary_school,212051319
32,FOSTER SECONDARY COLLEGE,-38.6517399960694,146.197409987218,2020,secondary_school,205031087
33,EDGARS CREEK SECONDARY COLLEGE,-37.6094900000125,145.005069986549,2020,secondary_school,209041437
34,OFFICER SECONDARY COLLEGE,-38.0720199970332,145.410969960087,2020,secondary_school,212011546
35,RICHMOND HIGH SCHOOL - GLEADELL STREET CAMPUS,-37.817399997142,145.00268998739,2020,secondary_school,206071518
36,RICHMOND HIGH SCHOOL - GRIFFITHS STREET CAMPUS,-37.8174099971496,145.002799987369,2020,secondary_school,206071518
37,BEAUMARIS SECONDARY COLLEGE,-37.978399992291,145.034079980339,2020,secondary_school,208011168
38,SPRINGSIDE WEST SECONDARY COLLEGE,-37.7156900018379,144.727869988017,2020,secondary_school,213041574
39,ESSENDON KEILOR COLLEGE - ESSENDON CAMPUS,-37.7551900008737,144.901930011615,2020,secondary_school,206031501
40,ESSENDON KEILOR COLLEGE - EAST KEILOR CAMPUS,-37.7397100005856,144.869709987868,2020,secondary_school,210011534
41,ESSENDON KEILOR COLLEGE - NIDDRIE CAMPUS,-37.7300700021655,144.879120008277,2020,secondary_school,210011226
42,PRAHRAN HIGH SCHOOL,-37.8517499966014,144.99168997356,2020,secondary_school,206061136
43,PRESTON HIGH SCHOOL,-37.7416900019263,145.006399985981,2020,secondary_school,209021428
44,WOODMANS HILL SECONDARY COLLEGE,-37.5591200010009,143.892280002926,2020,secondary_school,201011481
45,MOUNT ROWAN SECONDARY COLLEGE,-37.5192199980644,143.834470014936,2020,secondary_school,201011008
46,Rubicon Outdoor Centre - Thornton Campus,-37.2950000143261,145.821389981798,2020,secondary_school,204011054
47,ALTONA COLLEGE,-37.861649993761,144.816949987888,2020,secondary_school,213021341
48,KYNETON HIGH SCHOOL,-37.2513300009215,144.458169984226,2020,secondary_school,202021030
49,Elevation Secondary College,-37.5983500011218,144.890519972487,2020,secondary_school,210051443
50,Homestead Senior Secondary College,-37.9139999958336,144.768900007624,2020,secondary_school,213051464
51,Footscray High School Barkly Street Campus,-37.7990899986667,144.894890001092,2020,secondary_school,213031348
52,Footscray High School Kinnear Street Campus,-37.7910599995577,144.894019989111,2020,secondary_school,213031348
53,Greater Shepparton Secondary College Mooroopna Campus,-36.3817700082267,145.351809971287,2020,secondary_school,216031415
54,Greater Shepparton Secondary College McGuire Campus,-36.3989399862809,145.4081499792,2020,secondary_school,216031594
55,Greater Shepparton Secondary College Wanganui Park Campus,-36.3570299938721,145.391899989357,2020,secondary_school,216031416
56,Greater Otway Applied Learning School,-38.681949986797,143.382959993836,2020,secondary_school,217031476
0,MARTIN PARK,-36.1344799782408,146.880869964165,2015,park,204031492
1,STEPHEN CALLEJA RESERVE,-37.7438800022737,144.761389979194,2015,park,213011333
2,PINTAIL PARK,-37.6969300029726,144.790839980121,2015,park,213011340
3,PIONEER PARK,-37.6873400018485,144.760289978433,2015,park,213011339
4,CROMWELL ROAD RESERVE,-37.7372500018559,144.770619978304,2015,park,213011333
5,PROCTOR CRESCENT RESERVE,-37.7116500005601,144.783389978834,2015,park,213011332
6,BONFIELD RESERVE,-37.7235100043239,144.837879978125,2015,park,210011228
7,VERONA DRIVE RESERVE ,-37.6975000024084,144.797229979954,2015,park,213011340
8,MCSHANE DRIVE RESERVE,-37.7302000044893,144.824959978644,2015,park,213011332
9,BOROUGH DEPOT RESERVE ,-37.5997599985387,143.834089990907,2015,park,201011484
0,WESTERN HEIGHTS SECONDARY COLLEGE - VINES ROAD CAMPUS,-38.1228799967922,144.32896997953,2016,secondary_school,203021040
1,CHRISTADELPHIAN HERITAGE COLLEGE MELBOURNE,-37.8594699975061,145.322249969286,2016,secondary_school,211011449
2,HAILEYBURY COLLEGE - BRIGHTON CAMPUS,-37.9304499921358,145.006979991314,2016,secondary_school,208011172
3,HAILEYBURY GIRLS COLLEGE - BERWICK CAMPUS,-38.0435799965588,145.363909979502,2016,secondary_school,212021293
4,DE LA SALLE COLLEGE,-37.8576599934144,145.032189991875,2016,secondary_school,208041194
5,BROOKSIDE P-9 COLLEGE,-37.7463700016125,144.736539982236,2016,secondary_school,213041463
6,CORNISH COLLEGE,-38.0491799946282,145.1487699785,2016,secondary_school,212041566
7,BENDIGO SENIOR SECONDARY COLLEGE - NETSCHOOL CAMPUS,-36.7592700021182,144.280520007644,2016,secondary_school,202011018
8,ANTONINE COLLEGE - ST JOSEPH CAMPUS,-37.7411800035691,144.94273998906,2016,secondary_school,206011109
9,ST PETERS COLLEGE - ST PETERS COLLEGE WEST CAMPUS,-38.1083999984892,145.256869983996,2016,secondary_school,212031304
10,SACRED HEART COLLEGE,-36.0086599986268,146.009199932809,2016,secondary_school,216021414
11,MCCLELLAND SECONDARY COLLEGE - CAMP MAHAIKAH,-36.9244000102909,146.279299977895,2016,secondary_school,204021064
12,CHRISTIAN COLLEGE HIGHTON - MAIN CAMPUS,-38.1852300101292,144.313079984761,2016,secondary_school,203021042
