,SA2,SA2 NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
0,201011001,Alfredton,5098,5372,5760,6225,6718,7124,7558,7989
1,201011002,Ballarat,7139,7158,7151,7289,7400,7470,7585,7595
2,201011003,Ballarat - North,12073,12063,12261,12503,12516,12889,13356,13598
3,201011004,Ballarat - South,11096,11168,11372,11347,11529,11905,12294,12722
4,201011005,Buninyong,3828,3878,3897,3966,4001,4118,4195,4249
5,201011006,Delacombe,3137,3251,3464,3690,3883,4085,4312,4723
6,201011007,Smythes Creek,2187,2242,2284,2370,2316,2413,2504,2583
7,201011008,Wendouree - Miners Rest,6945,6801,6775,6832,6907,6954,7151,7380
8,201021009,Bacchus Marsh Region,3079,3082,3104,3251,3268,3495,3501,3572
9,201021010,Creswick - Clunes,3829,3865,3936,3996,3944,4102,4149,4294
10,201021011,Daylesford,4599,4686,4781,4931,5000,5176,5276,5363
11,201021012,Gordon (Vicnp),3028,3095,3145,3231,3185,3369,3533,3633
12,201031013,Avoca,1666,1630,1641,1662,1618,1668,1696,1724
13,201031014,Beaufort,1982,1989,2007,2013,2044,2136,2165,2268
14,201031015,Golden Plains - North,2122,2139,2191,2212,2241,2379,2461,2520
15,201031016,Maryborough (Vicnp),3306,3369,3309,3322,3334,3330,3446,3500
16,201031017,Maryborough Region,2379,2373,2371,2420,2386,2432,2482,2476
17,202011018,Bendigo,7716,7414,7343,7599,8009,7546,7726,7941
18,202011019,California Gully - Eaglehawk,5074,5262,5325,5528,5746,5946,6185,6334
19,202011020,East Bendigo - Kennington,7860,7733,7684,7781,7611,7889,7944,8176
20,202011021,Flora Hill - Spring Gully,4938,4816,4842,4847,4844,5115,5286,5407
21,202011022,Kangaroo Flat - Golden Square,9794,9825,9864,10026,10109,10399,10629,10845
22,202011023,Maiden Gully,2778,2821,2876,2954,2986,3077,3163,3289
23,202011024,Strathfieldsaye,4408,4604,4798,5041,5079,5432,5666,5906
24,202011025,White Hills - Ascot,5315,5540,5846,6199,6640,6962,7229,7636
25,202021026,Bendigo Region - South,3463,3573,3776,3978,4016,4278,4488,4634
26,202021027,Castlemaine,5092,5059,5213,5301,5340,5468,5512,5656
27,202021028,Castlemaine Region,4414,4460,4534,4590,4515,4704,4816,5017
28,202021029,Heathcote,1916,1930,1959,2044,2081,2147,2214,2258
29,202021030,Kyneton,4939,5074,5278,5456,5395,5628,5769,5928
30,202021031,Woodend,3719,3725,3825,3893,3961,4143,4295,4410
31,202031032,Bendigo Region - North,2198,2230,2251,2306,2281,2490,2535,2650
32,202031033,Loddon,3537,3559,3542,3550,3365,3493,3571,3601
33,203011034,Bannockburn,2930,3126,3215,3477,3668,3895,4064,4214
34,203011035,Golden Plains - South,3556,3643,3716,3869,3925,4093,4291,4381
35,203011036,Winchelsea,3361,3363,3454,3555,3538,3647,3723,3854
36,203021037,Belmont,7782,7798,7815,7941,7984,8134,8359,8573
37,203021038,Corio - Norlane,10782,10467,10361,10507,10653,11042,11390,11874
38,203021039,Geelong,7501,7543,7581,7590,7885,7888,8109,8404
39,203021040,Geelong West - Hamlyn Heights,10808,10827,10835,11148,11219,11678,12087,12521
40,203021041,Grovedale,11022,10992,11280,11892,12946,14364,15459,16948
41,203021042,Highton,12120,12424,12746,12970,13172,13542,14072,14219
42,203021043,Lara,8801,8967,9239,9561,9754,10079,10543,10905
43,203021044,Leopold,6293,6538,6813,7147,7335,7478,7584,7644
44,203021045,Newcomb - Moolap,7469,7299,7197,7349,7396,7595,7881,8051
45,203021046,Newtown (Vicnp),5953,6034,6143,6310,6366,6584,6701,6779
46,203021047,North Geelong - Bell Park,7097,6945,7194,7433,7475,7863,8152,8438
47,203031048,Clifton Springs,6538,6607,6836,7041,7323,7748,8035,8521
48,203031049,Lorne - Anglesea,3068,3134,3166,3263,3203,3361,3462,3489
49,203031050,Ocean Grove - Barwon Heads,11357,11773,12611,13452,14127,15041,15717,16554
50,203031051,Portarlington,3276,3302,3370,3553,3605,3884,4108,4318
51,203031052,Point Lonsdale - Queenscliff,2609,2536,2602,2606,2627,2789,2919,2993
52,203031053,Torquay,9792,10160,10582,11153,11442,12298,12755,13537
53,204011054,Alexandra,3376,3413,3405,3480,3564,3644,3735,3692
54,204011055,Euroa,3371,3352,3414,3497,3527,3613,3633,3678
55,204011056,Kilmore - Broadford,6453,6471,6703,6900,7147,7477,7771,8053
56,204011057,Mansfield (Vicnp),4679,4744,4834,4942,5015,5246,5383,5509
57,204011058,Nagambie,2004,1993,2068,2143,2150,2255,2360,2426
58,204011059,Seymour,3185,3154,3180,3169,3225,3214,3355,3386
59,204011060,Seymour Region,1990,2022,2084,2145,2103,2286,2355,2454
60,204011061,Upper Yarra Valley,93,78,87,85,78,86,96,97
61,204011062,Yea,1867,1943,1983,2019,2003,2041,2097,2109
62,204021063,Benalla,5506,5481,5382,5405,5398,5419,5524,5693
63,204021064,Benalla Region,2091,2055,2068,2151,2112,2156,2199,2223
64,204021065,Rutherglen,2165,2203,2207,2219,2205,2250,2296,2336
65,204021066,Wangaratta,9878,9898,10044,10126,10165,10216,10429,10527
66,204021067,Wangaratta Region,5796,5792,5798,5872,5767,5959,6041,6143
67,204031068,Beechworth,2392,2442,2488,2551,2619,2645,2704,2784
68,204031069,Bright - Mount Beauty,4339,4415,4466,4550,4614,4797,4954,5025
69,204031070,Chiltern - Indigo Valley,1690,1688,1753,1790,1854,1882,1894,1925
70,204031071,Myrtleford,2574,2545,2550,2620,2703,2686,2787,2828
71,204031072,Towong,3407,3437,3484,3506,3480,3544,3636,3605
72,204031073,West Wodonga,8072,8083,8060,8247,8204,8348,8570,8661
73,204031074,Wodonga,12014,12334,12706,13203,13322,14065,14597,15048
74,204031075,Yackandandah,2689,2678,2764,2847,2830,2876,2941,3001
75,205011076,Drouin,7230,7387,7632,7970,8398,8842,9215,9763
76,205011077,Mount Baw Baw Region,3399,3362,3340,3372,3456,3535,3642,3730
77,205011078,Trafalgar (Vicnp),4056,4124,4214,4289,4369,4555,4581,4703
78,205011079,Warragul,9544,9731,10011,10288,10795,11208,11694,12240
79,205021080,Alps - East,np,np,np,np,np,4,3,3
80,205021081,Bairnsdale,7182,7180,7277,7483,7643,7781,7942,8186
81,205021082,Bruthen - Omeo,4299,4263,4349,4347,4335,4459,4577,4665
82,205021083,Lake King,np,np,np,np,np,np,np,np
83,205021084,Lakes Entrance,4900,4829,4914,4952,5009,5110,5288,5343
84,205021085,Orbost,3223,3238,3193,3153,3062,3133,3199,3260
85,205021086,Paynesville,2928,2981,3075,3149,3140,3229,3321,3462
86,205031087,Foster,4756,4648,4657,4746,4721,4858,4916,4997
87,205031088,French Island,56,59,49,59,62,60,53,43
88,205031089,Korumburra,4974,4883,4947,5007,4994,5139,5290,5427
89,205031090,Leongatha,6163,6120,6095,6126,6177,6332,6431,6495
90,205031091,Phillip Island,5047,5098,5257,5479,5648,6018,6338,6534
91,205031092,Wilsons Promontory,np,np,np,np,np,8,10,9
92,205031093,Wonthaggi - Inverloch,10176,10343,10504,10831,11261,11702,12212,12695
93,205041094,Churchill,6027,5972,5977,6086,6019,6177,6268,6326
94,205041095,Moe - Newborough,7835,7655,7647,7718,7701,7726,7888,8017
95,205041096,Morwell,6149,5983,5935,5952,5849,5885,5929,6029
96,205041097,Traralgon,14265,14083,14342,14564,14696,14980,15266,15725
97,205041098,Yallourn North - Glengarry,2542,2500,2511,2589,2484,2598,2621,2708
98,205051099,Alps - West,34,37,34,37,27,30,23,19
99,205051100,Longford - Loch Sport,1947,1945,1932,2038,2095,2177,2220,2291
100,205051101,Maffra,7298,7263,7361,7595,7625,7684,7703,7910
101,205051102,Rosedale,2107,2124,2158,2201,2195,2285,2238,2281
102,205051103,Sale,7794,7718,7723,7919,7907,7890,8041,8160
103,205051104,Yarram,2795,2738,2726,2759,2721,2750,2787,2856
104,206011105,Brunswick,14415,14982,15256,16134,16555,17741,18263,19004
105,206011106,Brunswick East,5344,5595,6171,6603,7218,7948,8331,8757
106,206011107,Brunswick West,7622,7755,7921,8148,8402,8887,9195,9397
107,206011108,Coburg,14105,14465,14602,15122,15361,15929,16470,16841
108,206011109,Pascoe Vale South,5280,5369,5435,5540,5654,6140,6270,6446
109,206021110,Alphington - Fairfield,4821,4989,5092,5274,5433,5678,5819,5937
110,206021111,Northcote,13424,13790,14327,14967,15514,16022,16448,16821
111,206021112,Thornbury,10048,10147,10275,10626,11154,11439,11884,12125
112,206031113,Ascot Vale,7780,7720,8106,8524,8720,9239,9589,9771
113,206031114,Essendon - Aberfeldie,15510,15851,16292,16957,17507,18304,18810,19182
114,206031115,Flemington,4689,5010,5069,5163,5341,5605,5944,6212
115,206031116,Moonee Ponds,8155,8235,8376,8659,8987,9269,9601,10067
116,206041117,Carlton,6212,6409,6650,7337,7796,8400,9030,9422
117,206041118,Docklands,4409,5376,5955,6665,7337,8957,10207,11263
118,206041119,East Melbourne,3494,3520,3563,3599,3631,3792,3823,3899
119,206041120,Flemington Racecourse,67,56,59,54,45,47,59,65
120,206041121,Kensington (Vicnp),6198,6322,6562,6781,6917,7079,7257,7371
121,206041122,Melbourne,13457,15172,16065,18460,20622,24075,26083,27182
122,206041123,North Melbourne,9289,9594,10087,10909,11482,12853,13534,14582
123,206041124,Parkville,2767,2786,3008,3187,3394,3626,3920,4045
124,206041125,South Yarra - West,4006,4048,4121,4167,4289,4720,5182,5106
125,206041126,Southbank,8060,9396,10210,11273,12110,13321,14398,15422
126,206041127,West Melbourne,np,np,np,np,np,6,8,7
127,206051128,Albert Park,9679,9871,10064,10519,10447,11003,11491,11685
128,206051129,Elwood,9692,9860,10111,10544,10599,10919,10926,11046
129,206051130,Port Melbourne,9501,9953,10459,10831,10498,11043,11181,11132
130,206051131,Port Melbourne Industrial,96,110,105,107,133,236,385,610
131,206051132,South Melbourne,6223,6640,7202,7655,7682,8243,8697,8953
132,206051133,St Kilda,15584,16514,16928,17747,18254,19624,20032,20537
133,206051134,St Kilda East,10251,10478,10737,10990,10911,11686,12058,12218
134,206061135,Armadale,5843,5929,5988,6197,6068,6486,6846,6974
135,206061136,Prahran - Windsor,11526,12002,12785,13476,15042,14996,15009,15150
136,206061137,South Yarra - East,11098,11819,12636,13428,13949,15467,16102,16272
137,206061138,Toorak,9502,9612,9890,10112,9917,10096,10250,10071
138,206071139,Abbotsford,3265,3522,4629,5200,5625,6365,6439,6589
139,206071140,Carlton North - Princes Hill,5373,5486,5614,5809,5669,5983,6106,6129
140,206071141,Collingwood,3824,3884,4052,4497,5106,5698,6027,6380
141,206071142,Fitzroy,5860,6098,6181,6439,6511,7052,7083,7189
142,206071143,Fitzroy North,7250,7377,7646,7895,7895,8483,8553,8812
143,206071144,Richmond (Vicnp),17612,18408,19158,20133,20360,21746,22343,22825
144,206071145,Yarra - North,5176,5385,5633,5737,5730,6047,6158,6261
145,207011146,Ashburton (Vicnp),4338,4409,4472,4640,4651,4646,4841,4892
146,207011147,Balwyn,9963,10014,10006,10261,10452,10696,10868,11052
147,207011148,Balwyn North,12382,12457,12670,12850,12925,13032,13438,13512
148,207011149,Camberwell,12985,13107,13428,13721,14108,14144,14527,14501
149,207011150,Glen Iris - East,10368,10432,10448,10586,10749,11196,11413,11555
150,207011151,Hawthorn,13398,13766,14184,14708,15439,16493,17176,17287
151,207011152,Hawthorn East,9005,9087,9262,9582,10079,10389,10774,11148
152,207011153,Kew,15126,15368,15573,16131,16559,16786,17113,17095
153,207011154,Kew East,3800,3873,3917,3997,4111,4185,4200,4272
154,207011155,Surrey Hills (West) - Canterbury,10327,10425,10478,10672,10825,10940,11079,11103
155,207021156,Bulleen,6287,6291,6431,6515,6623,6722,6829,6946
156,207021157,Doncaster,11441,11689,11764,12041,12401,12974,13582,14237
157,207021159,Templestowe,10629,10510,10619,10676,10685,10665,10792,10914
158,207021160,Templestowe Lower,7694,7712,7798,7979,7916,8015,8163,8144
159,207021424,Doncaster East (North),9009,8932,8933,9147,9119,9355,9650,9886
160,207021425,Doncaster East (South),7192,7334,7342,7537,7853,8008,8309,8612
161,207031161,Blackburn,11949,12182,12399,12690,12890,13297,13726,14088
162,207031162,Blackburn South,5748,5695,5745,5944,5836,6011,6167,6283
163,207031163,Box Hill,9640,9676,9845,10273,10405,11812,12330,12915
164,207031164,Box Hill North,9534,9689,9839,9975,9990,10383,10768,11124
165,207031165,Burwood,5414,5559,5656,5890,5971,6364,6815,7160
166,207031166,Burwood East,5703,5670,5804,5904,5852,6049,6293,6275
167,207031167,Surrey Hills (East) - Mont Albert,6192,6270,6323,6440,6444,6709,6842,6925
168,208011168,Beaumaris,8354,8477,8615,8783,8965,9083,9252,9258
169,208011169,Brighton (Vicnp),14390,14458,15006,15426,15761,16039,16312,16253
170,208011170,Brighton East,9290,9452,9585,9820,9874,10044,10278,10293
171,208011171,Cheltenham - Highett (West),5901,5944,6167,6401,6647,7021,7219,7438
172,208011172,Hampton,9817,10098,10230,10669,10845,11134,11338,11547
173,208011173,Sandringham - Black Rock,9588,9779,9991,10464,10711,10925,11206,11359
174,208021174,Bentleigh - McKinnon,12454,12625,12767,13181,13323,13879,14517,15047
175,208021176,Carnegie,9882,9989,10042,10378,10625,10976,11438,11945
176,208021177,Caulfield - North,12486,12730,13037,13383,13659,14098,14633,14662
177,208021178,Caulfield - South,10425,10617,10815,11184,11378,11673,11818,11675
178,208021179,Elsternwick,6775,6899,7014,7263,7553,7717,7932,8120
179,208021180,Hughesdale,3798,3919,4069,4171,4243,4410,4528,4600
180,208021181,Murrumbeena,5415,5420,5571,5679,5828,5966,6136,6259
181,208021182,Ormond - Glen Huntly,7547,7689,7842,7968,8270,8419,8869,9185
182,208021426,Bentleigh East (North),7852,7977,8212,8409,8585,8799,9067,9401
183,208021427,Bentleigh East (South),7052,7114,7299,7393,7676,7796,8086,8190
184,208031183,Aspendale Gardens - Waterways,5064,5097,5187,5323,5311,5435,5541,5618
185,208031184,Braeside,151,154,147,156,146,160,156,138
186,208031185,Carrum - Patterson Lakes,6653,6735,6875,7003,7089,7247,7302,7424
187,208031186,Chelsea - Bonbeach,7713,7658,7769,7917,8143,8431,8610,8707
188,208031187,Chelsea Heights,2926,2933,2824,2974,3004,3094,3158,3165
189,208031188,Cheltenham - Highett (East),11751,11874,12178,12481,12965,13505,13946,14549
190,208031189,Edithvale - Aspendale,7017,7096,7271,7489,7655,7770,7988,8202
191,208031190,Mentone,7369,7567,7809,8021,8035,8337,8524,8596
192,208031191,Moorabbin - Heatherton,4802,4769,4927,4996,5159,5288,5521,5592
193,208031192,Moorabbin Airport,np,np,np,np,np,7,8,8
194,208031193,Mordialloc - Parkdale,11027,11274,11581,11896,12059,12368,12671,13021
195,208041194,Malvern - Glen Iris,12800,13016,13120,13436,13330,13978,14381,14437
196,208041195,Malvern East,12254,12405,12373,12787,12785,13497,13831,14094
197,209011196,Bundoora - East,5188,5196,5243,5376,5435,5474,5660,5821
198,209011197,Greensborough,12197,12282,12250,12458,12637,12751,12960,13043
199,209011198,Heidelberg - Rosanna,8209,8331,8407,8657,8921,9126,9515,9755
200,209011199,Heidelberg West,6283,6338,6482,6651,7077,7362,7847,8179
201,209011200,Ivanhoe,6768,6849,7095,7161,7458,7720,8123,8255
202,209011201,Ivanhoe East - Eaglemont,5130,5121,5127,5298,5395,5450,5529,5519
203,209011202,Montmorency - Briar Hill,9684,9607,9655,9773,9895,10034,10176,10215
204,209011203,Viewbank - Yallambie,10404,10340,10433,10561,10730,10819,11003,11035
205,209011204,Watsonia,5012,4986,5056,5160,5264,5290,5384,5516
206,209021205,Kingsbury,4848,4867,4992,5173,5340,5665,6110,6278
207,209021207,Reservoir - East,12039,12270,12429,13010,13550,14112,14937,15566
208,209021208,Reservoir - West,11514,11690,11940,12189,12529,13053,13471,13801
209,209021428,Preston - East,9838,9926,10220,10665,10976,11780,12110,12549
210,209021429,Preston - West,6364,6469,6598,6763,7069,7332,7586,7839
211,209031209,Eltham,14547,14493,14497,14689,14758,14815,15097,15220
212,209031210,Hurstbridge,2109,2104,2095,2130,2153,2219,2210,2195
213,209031211,Kinglake,2045,2017,2073,2103,2179,2261,2273,2329
214,209031212,Panton Hill - St Andrews,3014,3072,3071,3146,3187,3291,3334,3317
215,209031213,Plenty - Yarrambat,5798,5746,5952,6030,6076,6210,6316,6326
216,209031214,Research - North Warrandyte,4040,4113,4181,4227,4256,4332,4456,4402
217,209031215,Wattle Glen - Diamond Creek,8306,8294,8306,8608,8663,8903,9051,9167
218,209041216,Bundoora - North,3215,3361,3534,3790,3949,4182,4373,4471
219,209041217,Bundoora - West,3201,3175,3198,3238,3248,3388,3454,3521
220,209041219,Lalor,8858,9019,9266,9732,10104,10618,11055,11440
221,209041220,Mill Park - North,10330,10210,10233,10310,10320,10634,10733,10984
222,209041221,Mill Park - South,6838,6757,6664,6729,6752,6851,6909,6918
223,209041223,Thomastown,9103,8843,8974,9248,9241,9715,10049,10402
224,209041224,Wallan,6959,7371,7975,8398,8838,9623,10316,11176
225,209041225,Whittlesea,4115,4072,4189,4348,4375,4511,4724,4855
226,209041430,Doreen,7537,8641,9437,10182,11056,12150,12892,13777
227,209041431,Epping - East,6458,6485,6490,6722,6839,7110,7227,7269
228,209041432,Epping - South,4220,4100,4132,4229,4321,4467,4538,4575
229,209041433,Epping - West,3894,4395,4767,5258,5590,5988,6154,6376
230,209041434,Mernda,4716,5773,6553,7418,8574,9985,10820,11828
231,209041435,South Morang (North),5500,5800,6173,6484,6635,6953,7174,7361
