Address,Suburb,Postcode,Area,Type,Bed,Bath,Car,Price
"4/806 Warrigal Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,2,1,1,315
"7/26 Armadale Street, Armadale",ARMADALE,3143,Stonnington - Greater Area,ApartmentUnitFlat,1,1,1,300
"12/66 Murray Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1,1,1,275
"212/313-319 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,Studio,1,1,0,200
"8/1 Ruabon Road, Toorak",TOORAK,3142,Stonnington - Greater Area,ApartmentUnitFlat,3,1,1,400
"14/5 Gordon Street, Toorak",TOORAK,3142,Stonnington - Greater Area,ApartmentUnitFlat,1,1,1,275
"404/42 Porter Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1,1,0,235
"17/789 Malvern Road, Toorak",TOORAK,3142,Stonnington - Greater Area,ApartmentUnitFlat,1,1,1,285
"13/2 King Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1,1,0,350
"G02/42 Porter Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1,1,0,230
"G06/1-5 Donald Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1,1,0,270
"4/997 Dandenong Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,2,1,1,330
"41/6 Williams Road, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1,1,1,270
"314/141 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,Studio,1,1,0,240
"9/379 Dandenong Road, Armadale",ARMADALE,3143,Stonnington - Greater Area,ApartmentUnitFlat,2,1,1,390
"207/313-319 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,Studio,1,1,0,230
"114/313-319 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,Studio,1,1,0,200
"215/313-319 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,Studio,1,1,0,200
"605/36 Regent Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,1,1,1,400
"505/154 Cremorne Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,375
"913/631 Victoria Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"414/30 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"315/20 Shamrock Stret, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,350
"217a/1 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,375
"8/15 Sherwood Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,275
"210/205 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,390
"614c/11 Shamrock Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,400
"2/10 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,375
"6/57 Caroline Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,400
"234/631 Victoria Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"3/80 Trenerry Crescent, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,395
"401/39 Appleton Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,380
"408/2 Mcgoun Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"3/1 Turner Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"6/25 Rotherwood Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"418/601 Victoria Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,House,2,1,0,390
"614A/609 Victoria Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,375
"8/21-23 George Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,Studio,1,1,1,270
"3/96 York Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"207/70-74 Nicholson Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,House,1,1,0,350
"10/5 McGrath Court, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,270
"12/182 Coppin Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,290
"107/51 Napoleon Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,400
"6/5-7 Princes Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,395
"4/42 Baker Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,345
"3/10 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"17/57 Caroline Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,385
"4/20 Bellevue Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,395
"304/2 Mcgoun Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,375
"3/96 York Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"304/18 Grosvenor Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,0,400
"3/86 Stafford Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
"6/4 Wright Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,325
"208/10 Stanley Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,370
"407/136 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,0,390
"2/7 Westbank Terrace, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,290
"6/10 Dickens Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,320
"8/21-23 George Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,Studio,1,1,1,270
"401/20 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,390
"5/218 Lennox Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,360
"6/8 Davis Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,370
"406/20 Peel Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,House,1,1,1,390
"12/44 Type Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,275
"17/23 Davison Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,295
"1/203 Punt Road, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,320
"304/18 Grosvenor Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,0,400
"209/20 Shamrock Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,0,360
"2/343 Church Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"37/73 River Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,395
"B516/20 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,390
"2/21-23 George Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,Studio,1,1,1,315
"4/106 Kent Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,320
"5/56 John Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,340
"B005/20 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,370
"16/160 Coppin Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,330
"19 A Berry Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,395
"21/72 Baker Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,300
"5/7 Docker Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,350
"11LG/11 Flockhart Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,390
"1/17 Stillman Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"3/15-17 Bendigo Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"2/15-17 Bendigo Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"15/46-50 Baker Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,340
"506/4 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,310
"18/46-50 Baker Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,280
"216/300 Young Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"13/96 Spensley Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,400
"204/466-470 Smith Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,395
"307/37-39 Bosisto Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"5/96A Sackville st, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,305
"7/26 Elm Grove, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,380
"8/2-4 Bendigo St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,400
"8/87 Westbank Terrace, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"3/262 Alexandra Parade East, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,335
"Rear/445 George Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,Studio,1,1,0,300
"216/20 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,39
"14/4 Smith Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
"2/223 Punt Road, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,1,1,2,400
"214/243 Bridge Road, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,390
"20/2 The Vaucluse, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"412/253 Bridge Road, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"9/100 Easey Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,325
"206/360 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"103/61 Stawell Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,395
"11/2 The Vaucluse, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,340
"104/36-38 Bedford Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"205D/21 Robert Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"5/15 Bosisto Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,260
"E119/11 Flockhart Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,380
"604/338 Gore Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"6/39-45 Somerset Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,270
"207/61 Stawell Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,390
"13/86 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,360
"6/100 Easey Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
"303A/8 Grosvenor Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,0,320
"1/65 Elizabeth Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,340
"704/136 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,395
"5/20 Bellevue Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,350
"Y109/125 Turner Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,370
"3/31-33 Heidelberg Road, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,360
"5/5 Berry Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
"6/44 Coppin Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,2,395
"20/8 Hull Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,395
"DG07 / 18 Grosvenor Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,400
"303/8-10 New Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,375
"202/429-437 Swan Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,390
"9/4 McGrath Court, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,310
"1/2 Gardner Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,270
"609/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,260
"7/41 Napier Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,310
"22/41 Napier Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,280
"G02/163 Cremorne Street, Cremorne",CREMORNE,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,380
"402/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,275
"10/10 Bosisto Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
"101/229 Bridge Road, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,365
"506/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,Studio,1,1,0,275
"10/27 Griffiths St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,250
"307/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,250
"14/27 Griffiths St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,250
"6/275 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,285
"619/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,225
"20/160 Coppin Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,ont
"3/34 Davison St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,290
"4/13 Lambert Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,295
"6/17 Alexander Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,340
"3/43 Gertrude Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,House,1,1,0,375
"3/15 Davison St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,340
"1/27 Griffiths St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,340
"4/41 Fenwick Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,360
"3/25 Rotherwood Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,320
"10/199 Punt Road, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,285
"4/41 Napier St, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,270
"303/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,House,1,1,1,250
"5/35 Brunswick Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,200
"15/147 Victoria Parade, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,135
"8/87 Gardner Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,185
"7/87 Gardner Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,175
"12/109 Mary Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,350
"607/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,285
"6/1 Little Buckingham Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,375
"311/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,300
"409/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,310
"411/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,Studio,1,1,0,200
"110/28 Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,330
"302/14 David Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,355
"4/117 Kerr Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,300
"625/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,290
"12/35 Brunswick Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,Studio,1,1,0,270
"7/117 Kerr Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
"205/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,275
"11/16 Derby Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,370
"10/2 Gardner Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,325
"3/275 Burnely St, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,290
"606/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,195
"902/20 Shamrock Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,House,1,1,0,350
"6/9-11 Otter Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,350
"45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,Studio,1,1,0,rom
"108/1 Dyer Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,400
"5/1 Peel Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,390
"1/368 Church Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,325
"4/33 Davison Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,290
"315/4 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,320
"306/4 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,325
"111/70-74 Nicholson Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,310
"711/4 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,350
"106/81 Argyle Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,400
"504/81 Argyle Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,400
"3/71A Tanner Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,385
"C101/5 Flockhart Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,400
"105/120 Gipps Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,385
"218/88 Trenerry Crescent, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,325
"11/32 Dwyer Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,340
"201/45 York Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,395
"510/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,280
"2/7 Adam Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,365
"309/45 Victoria Parade, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,0,370
"1/271 Lennox Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,320
"8/14 Albert Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,350
"5/28 Nicholson Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2,1,1,360
"4/117 Kerr Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,1,1,1,300
