Address,Suburb,Postcode,Area,Type,Bed,Bath,Car,Price
"1719/8 Daly Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,325
"1/5 Powell Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"106/270 King Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"17/36 Kensington Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"24/36 Cromwell Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,370
"204/445 Elizabeth Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,Studio,1.0,1.0,0,220
"108/445 Elizabeth Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,Studio,1.0,1.0,0,315
"3903/601 Little Lonsdale Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,400
"1504/141 La Trobe St, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"3/1011 Drummond Street, Carlton North",CARLTON NORTH,3054,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350
"11/1011 Drummond Street, Carlton North",CARLTON NORTH,3054,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,290
"110/131 Pelham Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,240
"207/668 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,360
"4004/245 City Road, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"613/585 La Trobe Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380
"1301/673 La Trobe Street, Docklands",DOCKLANDS,3008,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,340
"3/6 Mona Place, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,340
"2/49 Tennyson Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,360
"3/5 Garden Court, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"4/7 Scott Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"7/11 Scott Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,375
"203/3 Greeves St, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"3/90 Hambleton Street, Middle Park",MIDDLE PARK,3206,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,310
"17/72-76 High Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,300
"21/21 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350
"209/111 Inkerman Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"1316/52 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,280
"4/72 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"2/1 Ellesmere Road, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,390
"6/22 Bendigo Avenue, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,310
"21/197 Brighton Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,375
"206/28 Bank St, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"206/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,360
"1/43b Chapel St, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,260
"3/22-24 Vale Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,350
"9/6 Westbeach Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,365
"4/7 Southey Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,270
"6 6-8 Glen Eira Road, Ripponlea",RIPPONLEA,3185,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350
"2/22A Crimea Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"326/111 Punt Road, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,400
"2/37 Vale Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,270
"7/1 Park Street, St Kilda West",ST KILDA WEST,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"3a Kent Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,400
"10/33 Grey St, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,Studio,1.0,1.0,0,275
"5/58 The Avenue, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,370
"6/311 Inkerman Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,330
"10/169 Ormond Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,310
"9/33 Grey Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,315
"8/1 Crimea Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,335
"1/16 Robe Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,325
"8/68 Grey Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,310
"316/173-177 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"306/1A Peel Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"63 Emerald Hill, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,395
"504/62 Carlisle Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,270
"112/63 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250
"708/65 Acland Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250
"3/269 Inkerman Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,375
"13/9 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"306/138 Glen Eira Road, Ripponlea",RIPPONLEA,3185,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,365
"8/162 Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,299
"GD/12 Marine Parade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350
"20/1 Duke Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,395
"3/76 Pakington Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"6/12 May Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"9/85 Grosvenor Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,House,2.0,1.0,1,385
"504/2a Henry Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,House,1.0,1.0,1,400
"12/4 Hartpury Avenue, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"6/2 Woodstock Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380
"6/99 Alma Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,370
"105/3-7 Alma Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"202/363 Beaconsfield Parade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,315
"12/18 Pine Avenue, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,290
"10/187 Beaconsfield Parade, Middle Park",MIDDLE PARK,3206,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"7/41 Park Street, St Kilda West",ST KILDA WEST,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,270
"2/48 Jackson Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,365
"22A Crimea Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"4/7-9 Faussett Street, Albert Park",ALBERT PARK,3206,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"4/11a Pine Avenue, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,385
"2/7-9 Eildon Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,375
"3/7A Coleridge Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"12/9 Southey Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,320
"15/38 Scott Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350
"6/3 Herbert Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"5/56 Smith Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"307/99 Palmerston Crescent, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"1/170 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"107/72 Acland Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"508/97 Palmerston Crescent, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"204/163 Inkerman Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"5/57 Foam Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,290
"205/44 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,Studio,1.0,1.0,1,250
"11/197 Canterbury Road, St Kilda West",ST KILDA WEST,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,295
"8/30 James Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,270
"6/6 Westbeach Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,370
"13/91 Grosvenor Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,275
"11/12 Robe Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,295
"911/338 Kings Way, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,385
"10/187 Beaconsfield Parade, Middle Park",MIDDLE PARK,3206,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"5/24 Alma Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,290
"105/356 Carlisle Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"8/40 Charnwood Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"2/43 Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,280
"107/7 Belford Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,House,2.0,2.0,1,370
"11/54 Acland Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"7/23 Robe Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,280
"1102/6 St Kilda Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"108/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"107/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"106/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"14/52 Moubray Street, Albert Park",ALBERT PARK,3206,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"2/46 Ormond Esplanade, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,385
"4/24 Raglan Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,310
"307/126 Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,330
"305/126 Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"3/5 Belford Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,325
"1/16 Gertrude Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"10/21-23 Tiuna Grove, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"3/29 Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"9/50 Wellington Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,310
"4/5 Vautier Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"7/39 Vautier Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,2,350
"11/23 Irwell Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,310
"9/39 Vautier Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,2,350
"6/5 Bundalohn Court, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,315
"8/61 Canterbury Road, Middle Park",MIDDLE PARK,3206,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,400
"9/400 Barkly Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,395
"5/11 Anderson Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,295
"7/25 Clarke Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,370
"14/32 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,300
"17/17-19 Milton Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"18/36 Brighton Road, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,365
"207/78 Inkerman Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380
"208/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"207/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"108/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"107/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"106/39 Park Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"7/24 Prentice Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,275
"6/300 Ferrars Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"7/294 Ferrars Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,340
"8/294 Ferrars Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,300
"12/54 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,270
"3/43b Chapel St, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,Studio,1.0,1.0,0,240
"12/13 St Leonards Avenue, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,300
"12/9 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250
"301/78 Inkerman Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,320
"28/41 Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"13/22a Acland Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,385
"2/56 Byron Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,340
"1/17 Mitchell Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,250
"10/24 Scott Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350
"35/62 Wellington Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380
"7/17 Herbert Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,300
"29/60 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,345
"8/27 Robe Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350
"3/17 Mitchell Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250
"12/82 Pakington Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,295
"9/35 Charles Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,Studio,1.0,1.0,1,240
"13/343 Beaconsfield Parade, St Kilda West",ST KILDA WEST,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375
"4/193 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,290
"17/14 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"5/23 Scott Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,345
"2/32 Wellington Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,325
"9/144 Brighton Road, Ripponlea",RIPPONLEA,3185,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"5/21 Ruskin Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,290
"1/98 Glen Huntly Rd, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,330
"2/9 Southey Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,300
"6/70 Albert Road, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"2/58 Spray Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,320
"413/163 Inkerman Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380
"11/53 Blessington Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,365
"104/36 Dianella Lane, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,2.0,0,380
"7/34 Princes Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,370
"22/31 Upton Road, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380
"43/16A Chapel Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,325
"206/173-177 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,HE 
"719/65 Acland Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250
"4/12 Charlotte Place, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,345
"1/28 Grey Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,350
"4/14 Marriott Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,335
"4/34 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,375
"5/251 Brighton Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,395
"307/211 Dorcas Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"8/8 Austin Avenue, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,295
"7/41 Longmore Street, St Kilda West",ST KILDA WEST,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,350
"4/10 Burnett Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"4/47 Brighton Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,330
